# What she takes at each landmark, what it is worth, and the
# hours of standing still it costs her. Written by
# treasures.py; the impossible ones are hand-authored there.
# landmark	treasure	reputation	dwell_hours	absurd
Old Town of Lviv	one day's takings from the whole quarter	40	3	0
Paraty	one day's takings from the whole quarter	41	3	0
Petäjävesi Old Church	the rose window, in one piece	41	3	0
Pontcysyllte Aqueduct	the lock gates	41	3	0
Santiniketan	the plaque, and the screws it was on	41	3	0
Schwerin Castle	the catalogue, which named things no longer there	41	3	0
Taos Pueblo	the plaque, and the screws it was on	41	3	0
The Architectural Work of Le Corbusier	the cobbles, and they were numbered	41	3	0
The Great Spa Towns of Europe	the keys to everything	41	3	0
Tugela Falls	the last shelter below the summit	41	3	0
Willandra Lakes Region	the tags off every animal in it	41	3	0
Zubarah	the finds tray, and the labels with it	41	3	0
Al Maghtas	everything in trench four, crated and gone	38	3	0
Alcobaça Monastery	the library's oldest book	38	3	0
Castles and Town Walls of King Edward in Gwynedd	the shutters, from every window on one street	38	3	0
Champaner-Pavagadh Archaeological Park	the finds tray, and the labels with it	38	3	0
Golden Mountains of Altai	the breeding pair	38	3	0
Huascarán National Park	the oldest tree in it, roots and all	38	3	0
Imperial Citadel of Thang Long	the watchman's horn	38	3	0
Jog Falls	the oldest thing on the site	38	3	0
Khangchendzonga National Park	the plan the whole thing was laid out from	38	3	0
Lake Malawi National Park	every seed in the seed store	38	3	0
Las Médulas	the site notebook, which was worse than the finds	38	3	0
Linderhof Palace	the third case from the left, and the card beside it	38	3	0
Mount Kumgang	the last hundred metres of it	38	3	0
New Zealand Subantarctic Islands	the causeway	38	3	0
Papahānaumokuākea Marine National Monument	the count, so nobody knows what is left	39	3	0
Rani ki vav	one day's takings	39	3	0
Revillagigedo Islands	the boat, and then there was no way off	39	3	0
Roman amphitheatre of El Jem	the oldest thing on the site	39	3	0
Sangiran	everything in trench four, crated and gone	39	3	0
Sheikh Safi al-Din Khānegāh and Shrine Ensemble	the door of the oldest house in it	39	3	0
Stone spheres of Costa Rica	everything in trench four, crated and gone	39	3	0
Tajín Veracruz	everything in trench four, crated and gone	39	3	0
Te Wahipounamu	the count, so nobody knows what is left	39	3	0
Viñales Valley	the echo	39	3	0
Warsaw Old Town	one day's takings from the whole quarter	39	3	0
Xochicalco	the site notebook, which was worse than the finds	39	3	0
wooden churches of Maramureș	the keys to everything	39	3	0
wooden churches of the Slovak Carpathians	one day's takings	40	3	0
Aflaj Irrigation System of Oman	the drawings the whole place was built from	36	3	0
Chengde Mountain Resort and its outlying temples	every seed in the seed store	36	3	0
Churches of Peace	the shutters, from every window on one street	36	3	0
Darién National Park	the oldest tree in it, roots and all	36	3	0
Divriği Great Mosque and Hospital	the shutters, from every window on one street	36	3	0
Dja Faunal Reserve	the count, so nobody knows what is left	36	3	0
Gamzigrad	one day's takings from the whole quarter	36	3	0
Gonbad-e Qabus	the grave goods, all of them	36	3	0
Gordion	everything in trench four, crated and gone	36	3	0
Gulangyu	the boat, and then there was no way off	36	3	0
Historic Monuments of Ancient Kyoto	the door of the oldest house in it	36	3	0
Historic Villages of Shirakawa-gō and Gokayama	the door of the oldest house in it	36	3	0
Holy Trinity Column in Olomouc	the keys to everything	36	3	0
Hwaseong Fortress	the state bed	37	3	0
Ichkeul National Park	every seed in the seed store	37	3	0
Lake Turkana National Parks	the visitors' book	37	3	0
Mulanje Massif	the last hundred metres of it	37	3	0
Padova botanical garden	the oldest tree in it, roots and all	37	3	0
Royal Tombs of the Joseon Dynasty	the inscription, chiselled out entire	37	3	0
Sammallahdenmäki	everything in trench four, crated and gone	37	3	0
Seljalandsfoss	the tide	37	3	0
Umm ar-Rasas	the site notebook, which was worse than the finds	37	3	0
Vallée de Mai	the count, so nobody knows what is left	37	3	0
Vega Archipelago	the only jetty	37	3	0
Yosemite Falls	the keys to everything	37	3	0
iSimangaliso Wetland Park	the tags off every animal in it	37	3	0
Abbey of Fontenay	the recipe, which was the only secret they had	34	3	0
Australian Convict Sites	the door of the oldest house in it	34	3	0
Convent of Christ	the recipe, which was the only secret they had	34	3	0
Euphrasian Basilica	the sound of the bells	34	3	0
Honghe Hani Rice Terraces	a season's harvest, standing	34	3	0
Khami	the finds tray, and the labels with it	34	3	0
Koutammakou	one day's takings from the whole quarter	34	3	0
Madinat Al-Zahra	the site notebook, which was worse than the finds	35	3	0
Medici Villas and Gardens in Tuscany	the cobbles, and they were numbered	35	3	0
Museum Plantin-Moretus	the third case from the left, and the card beside it	35	3	0
Pamir National Park	the plan the whole thing was laid out from	35	3	0
Pannonhalma Archabbey	the sound of the bells	35	3	0
Princely Abbey of Corvey	the library's oldest book	35	3	0
Rapa Nui National Park	the plan the whole thing was laid out from	35	3	0
Royal Palaces of Abomey	the exhibit everyone comes for	35	3	0
Saint-Savin	the harbour light	35	3	0
Sian Ka'an	the tags off every animal in it	35	3	0
Visoki Dečani	the finds tray, and the labels with it	35	3	0
Waterton-Glacier International Peace Park	the breeding pair	35	3	0
churches of Moldavia	the signboard at the gate	35	3	0
Šibenik Cathedral	the rose window, in one piece	35	3	0
Berlin Modernism Housing Estates	the cobbles, and they were numbered	32	3	0
Burana Tower	the keys to everything	32	3	0
Cité de Carcassonne	one day's takings from the whole quarter	32	3	0
Classical Gardens of Suzhou	the plan the whole thing was laid out from	32	3	0
Dambulla cave temple	the bell rope and the bell	32	3	0
Desembarco del Granma National Park	every seed in the seed store	32	3	0
El Fuerte de Samaipata	the site notebook, which was worse than the finds	33	3	0
Ferapontov Monastery	the bell that keeps the hours	33	3	0
Goguryeo tombs	everything in trench four, crated and gone	33	3	0
Great Himalayan National Park	the plan the whole thing was laid out from	33	3	0
Imperial Tombs of the Ming and Qing Dynasties	the inscription, chiselled out entire	33	3	0
Jodrell Bank Observatory	the plaque, and the screws it was on	33	3	0
Kapova Cave	everything in trench four, crated and gone	33	3	0
Modena Cathedral	the sound of the bells	33	3	0
Pilgrimage Church of Saint John of Nepomuk	the sound of the bells	33	3	0
Royal Monastery of Saint Mary of Guadalupe	the bell that keeps the hours	33	3	0
Sarazm	the finds tray, and the labels with it	33	3	0
Su Nuraxi di Barumini	the site notebook, which was worse than the finds	33	3	0
Tlacotalpan	the flood markers	33	3	0
Twyfelfontein	the finds tray, and the labels with it	34	3	0
Valle dei Templi	everything in trench four, crated and gone	34	3	0
Vecrīga	the hands off the station clock	34	3	0
Verla	the great wheel	34	3	0
Wooden churches of Southern Lesser Poland	the shutters, from every window on one street	34	3	0
pont Saint-Bénézet	the summit cairn	34	3	0
Bale Mountains National Park	the oldest tree in it, roots and all	31	3	0
Carnac stones	the finds tray, and the labels with it	31	3	0
Danevirke	the site notebook, which was worse than the finds	31	3	0
East Rennell	the boat, and then there was no way off	31	3	0
Fujian Tulou sites	the shutters, from every window on one street	31	3	0
Ilulissat Icefjord	the tags off every animal in it	31	3	0
Kluane / Wrangell – St. Elias / Glacier Bay / Tatshenshini-Alsek	the count, so nobody knows what is left	31	3	0
Mausoleum of the First Qin Emperor	everything in trench four, crated and gone	31	3	0
Messel pit	the signboard at the gate	31	3	0
Ningaloo Reef	the plan the whole thing was laid out from	31	3	0
Old Rauma	the hands off the station clock	31	3	0
Residence of Bukovinian and Dalmatian Metropolitans	the door of the oldest house in it	32	3	0
Residences of the Royal House of Savoy	the door of the oldest house in it	32	3	0
Rock carvings at Alta	the keys to everything	32	3	0
Royal Alcázar of Segovia	the harbour light	32	3	0
Río Abiseo National Park	every seed in the seed store	32	3	0
Sacri Monti of Piedmont and Lombardy	the oldest thing on the site	32	3	0
Saltaire	one portrait, and it was the good one	32	3	0
Town Hall of Bremen	the signboard at the gate	32	3	0
Aapravasi Ghat	the visitors' book	29	2	0
Aïr and Ténéré National Nature Reserve	the tags off every animal in it	29	2	0
Badain Jaran Desert	the map of where the water is	29	2	0
Brimstone Hill Fortress National Park	the plan the whole thing was laid out from	29	2	0
Canadian Rocky Mountain Parks World Heritage Site	the tags off every animal in it	29	2	0
Castillo de San Pedro de la Roca	the watchman's horn	29	2	0
Chongoni Rock Art Area	everything in trench four, crated and gone	29	2	0
Darial Gorge	the bridge across it	29	2	0
Dessau-Wörlitz Garden Realm	every seed in the seed store	29	2	0
General Archive of the Indies	the third case from the left, and the card beside it	29	2	0
Grimeton VLF transmitter	the door of the oldest house in it	29	2	0
Head-Smashed-In Buffalo Jump	everything in trench four, crated and gone	29	2	0
Historic Monuments of Ancient Nara	the door of the oldest house in it	29	2	0
Iwami Ginzan Silver Mine	the site notebook, which was worse than the finds	30	2	0
Laponian National Park	the oxygen	30	2	0
Le Morne Brabant	the snow line	30	2	0
Maymand	one portrait, and it was the good one	30	2	0
Morne Trois Pitons National Park	the plan the whole thing was laid out from	30	2	0
Namhansanseong	the keys to everything	30	2	0
Nanda Devi National Park	the plan the whole thing was laid out from	30	2	0
Naumburg Cathedral	the rose window, in one piece	30	2	0
Orkhon Valley	the echo	30	2	0
Rietveld Schröder House	the exhibit everyone comes for	30	2	0
Saint John Abbey	the signboard at the gate	30	2	0
Sangha Trinational	the breeding pair	30	2	0
Vilnius Old Town	the name off every street sign in the district	30	2	0
Wet Tropics of Queensland	the keys to everything	31	3	0
White City	the name off every street sign in the district	31	3	0
Baroque Churches of the Philippines	the signboard at the gate	27	2	0
Bergpark Wilhelmshöhe	the plan the whole thing was laid out from	27	2	0
Caves of Aggtelek Karst and Slovak Karst	the deepest chamber	27	2	0
Central Suriname Nature Reserve	the tags off every animal in it	27	2	0
Chiribiquete National Park	the oldest tree in it, roots and all	27	2	0
Ennedi Plateau	the summit cairn	28	2	0
Fortifications of Vauban	one gate, hinges and all	28	2	0
Herrenchiemsee	the state bed	28	2	0
Longobards in Italy, Places of Power	the shutters, from every window on one street	28	2	0
Medieval Monuments in Kosovo	the shutters, from every window on one street	28	2	0
Miguasha National Park	every seed in the seed store	28	2	0
Monolithic churches in Lalibela	the door of the oldest house in it	28	2	0
Painted Churches in the Troödos Region	the sound of the bells	28	2	0
Palmeral of Elche	the oldest tree in it, roots and all	28	2	0
Rock Art of the Mediterranean Basin on the Iberian Peninsula	one day's takings	28	2	0
Samariá Gorge National Park	the bridge across it	28	2	0
Sukur	a season's harvest, standing	28	2	0
The Venetian Works of defence between 15th and 17th centuries	the shutters, from every window on one street	28	2	0
White Monuments of Vladimir and Suzdal	the shutters, from every window on one street	28	2	0
Ancient City of Aleppo	the name off every street sign in the district	26	2	0
Asante Traditional Buildings	the shutters, from every window on one street	26	2	0
Citadel of Erbil	the watchman's horn	26	2	0
Fagus Factory	the last working engine	26	2	0
Kizhi Pogost	the cobbles, and they were numbered	26	2	0
Kondoa Rock Art Sites	the site notebook, which was worse than the finds	26	2	0
Lakes of Ounianga	the depth of it	26	2	0
Land of Frankincense	the terrace walls, stone by stone	26	2	0
León Cathedral	the rose window, in one piece	26	2	0
Los Alerces National Park	the plan the whole thing was laid out from	26	2	0
Margravial Opera House	the exhibit everyone comes for	26	2	0
Nyungwe Forest	every seed in the seed store	27	2	0
Old Faithful	the keys to everything	27	2	0
Osun-Osogbo Grove	the visitors' book	27	2	0
Palaces and Parks of Potsdam and Berlin	a season's harvest, standing	27	2	0
Sewell	the hands off the station clock	27	2	0
Sichuan Giant Panda Sanctuaries	the count, so nobody knows what is left	27	2	0
Tallinn Old Town	one day's takings from the whole quarter	27	2	0
Zollverein Coal Mine Industrial Complex	the drawings the whole place was built from	27	2	0
Aljafería	the keys to a gate that has not been locked in centuries	24	2	0
Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba	one day's takings	24	2	0
Christiansfeld	the name off every street sign in the district	24	2	0
Churches of Chiloé	the signboard at the gate	25	2	0
Decorated Farmhouses of Hälsingland	the door of the oldest house in it	25	2	0
Derwent Valley Mills	the great wheel	25	2	0
Fountains Abbey	the recipe, which was the only secret they had	25	2	0
Heart of Neolithic Orkney	the tags off every animal in it	25	2	0
Humberstone and Santa Laura Saltpeter Works	one day's takings	25	2	0
Kuk Swamp	the finds tray, and the labels with it	25	2	0
Monarch Butterfly Biosphere Reserve	the count, so nobody knows what is left	25	2	0
New Caledonia Barrier Reef	the oldest thing on the site	25	2	0
Prehistoric Rock Art Sites in the Côa Valley	the site notebook, which was worse than the finds	25	2	0
Ramappa Temple	the topmost finial	25	2	0
Sacred Mijikenda Kaya Forests	the oldest thing on the site	25	2	0
Sawahlunto	one day's takings from the whole quarter	25	2	0
South China Karst	the plaque, and the screws it was on	25	2	0
Takalik Abaj	everything in trench four, crated and gone	26	2	0
Tràng An	the hands off the station clock	26	2	0
Citadelle Laferrière	the watchman's horn	23	2	0
Colonia Iulia Urbs Triumphalis Tarraco	everything in trench four, crated and gone	23	2	0
Cordouan Lighthouse	the span, and both banks are still there	23	2	0
Cornwall and West Devon Mining Landscape	a season's harvest, standing	23	2	0
El Camino Real de Tierra Adentro	one day's takings	23	2	0
Falun Mine	the visitors' book	23	2	0
Ironbridge Gorge	the bridge across it	24	2	0
Ivindo National Park	the plan the whole thing was laid out from	24	2	0
Jesuit Missions of Chiquitos	the visitors' book	24	2	0
Lednice-Valtice Cultural Landscape	the water rights	24	2	0
Qalhat	the hands off the station clock	24	2	0
Rhine Gorge	the water rights	24	2	0
Rock Carvings in Tanum	the finds tray, and the labels with it	24	2	0
Sacred Sites and Pilgrimage Routes in the Kii Mountain Range	the visitors' book	24	2	0
Stevns Klint	one day's takings	24	2	0
Valley of Geysers	the breeding pair	24	2	0
Alto Douro Wine Region	the tide	22	2	0
Arslantepe	the site notebook, which was worse than the finds	22	2	0
Bat, Al-Khutm and Al-Ayn archaeological sites	the finds tray, and the labels with it	22	2	0
Dacian Fortresses of the Orăștie Mountains	the cobbles, and they were numbered	22	2	0
Gammelstad Church Town	the rose window, in one piece	22	2	0
Hoh Xil	the plaque, and the screws it was on	22	2	0
Hospicio Cabañas	the keys to everything	22	2	0
Koh Ker	everything in trench four, crated and gone	22	2	0
Kraków Old Town	the name off every street sign in the district	22	2	0
Palace of Mafra	the reliquary, and what was in it	22	2	0
Pitons	the last hundred metres of it	22	2	0
Ruins of St. Paul's	the rose window, in one piece	22	2	0
Sambor Prei Kuk	the site notebook, which was worse than the finds	23	2	0
Saryarka – Steppe and Lakes of Northern Kazakhstan	the water rights	23	2	0
Tierradentro	the site notebook, which was worse than the finds	23	2	0
Trans-Iranian railway	the great wheel	23	2	0
University City of Caracas	the signboard at the gate	23	2	0
Völklingen Ironworks	one day's takings	23	2	0
historical city centre of Odesa	the hands off the station clock	23	2	0
Burgess Shale	the visitors' book	21	2	0
Capital Cities and Tombs of the Ancient Koguryo Kingdom	the finds tray, and the labels with it	21	2	0
Casas Grandes	the finds tray, and the labels with it	21	2	0
Gochang, Hwasun and Ganghwa Dolmen Sites	one day's takings	21	2	0
Historic Centre of Saint Petersburg and Related Groups of Monuments	the name off every street sign in the district	21	2	0
Khajuraho Group of Monuments	the incense, and the smell went with it	21	2	0
Niah National Park	the finds tray, and the labels with it	21	2	0
Old Quebec	one day's takings from the whole quarter	21	2	0
Paleochristian and Byzantine monuments of Thessaloniki	the oldest thing on the site	21	2	0
Rock Paintings of Hua Mountain	the finds tray, and the labels with it	21	2	0
Shrines and Temples of Nikkō	the plaque, and the screws it was on	21	2	0
Shushtar Historical Hydraulic System	the shutters, from every window on one street	21	2	0
Sites of Japan’s Meiji Industrial Revolution: Iron and Steel, Shipbuilding and Coal Mining	the door of the oldest house in it	21	2	0
Stari Grad Plain	a season's harvest, standing	22	2	0
lifts on the old Canal du Centre	the cobbles, and they were numbered	22	2	0
Atapuerca	the site notebook, which was worse than the finds	19	2	0
Bassari Country	the water rights	19	2	0
Beit She'arim National Park	the site notebook, which was worse than the finds	19	2	0
Central Highlands of Sri Lanka	the keys to everything	19	2	0
Cát Bà Island	the only jetty	19	2	0
Dilmun Burial Mounds	the effigy off the tomb	20	2	0
Eldgjá	the river at the bottom	20	2	0
Glarus thrust	the visitors' book	20	2	0
Incense Route – Desert Cities in the Negev	the oldest thing on the site	20	2	0
Jesuit Block and Estancias of Córdoba	the signboard at the gate	20	2	0
Kujataa	one day's takings	20	2	0
Odzala National Park	the plan the whole thing was laid out from	20	2	0
Our Lady of Promise	the reliquary, and what was in it	20	2	0
Redwood National and State Parks	the breeding pair	20	2	0
Roman Walls of Lugo	the hands off the station clock	20	2	0
Ruínas de León Viejo	the doorway everyone photographs	20	2	0
San Agustin archeological park	everything in trench four, crated and gone	20	2	0
Vjetrenica	the deepest chamber	20	2	0
Aqueduct of Padre Tembleque	the keystone	18	2	0
Armenian Monastic Ensembles of Iran	the shutters, from every window on one street	18	2	0
Bahrain Pearling Trail	the cobbles, and they were numbered	18	2	0
Banaue Rice Terraces	a season's harvest, standing	18	2	0
Bom Jesus do Monte	the sound of the bells	18	2	0
Eise Eisinga Planetarium	the catalogue, which named things no longer there	18	2	0
Greater Blue Mountains Area	the tags off every animal in it	18	2	0
Gusuku Sites and Related Properties of the Kingdom of Ryukyu	the door of the oldest house in it	18	2	0
Ir.D.F. Woudagemaal	the catalogue, which named things no longer there	18	2	0
Jeju Volcanic Island and Lava Tubes	the keys to everything	19	2	0
Litomyšl Chateau	one portrait, and it was the good one	19	2	0
Matka Canyon	the echo	19	2	0
Monasteries on the slopes of Popocatépetl	the plaque, and the screws it was on	19	2	0
Natural and Culturo-Historical Region of Kotor	the count, so nobody knows what is left	19	2	0
Shiretoko Peninsula	the boat, and then there was no way off	19	2	0
Thimlich Ohinga	the finds tray, and the labels with it	19	2	0
domus de janas	the signboard at the gate	19	2	0
northern French coal mining region	one day's takings	19	2	0
Ancient City of Damascus	the hands off the station clock	16	1	0
Area de Conservación Guanacaste World Heritage Site	the tags off every animal in it	16	1	0
Beaufort Castle	the portcullis	16	1	0
Charyn Canyon	the bridge across it	16	1	0
China Danxia	the keys to everything	16	1	0
Ciudad Universitaria	the visitors' book	16	1	0
Franciscan Missions in the Sierra Gorda	the shutters, from every window on one street	16	1	0
Group of monuments at Mahabalipuram	the topmost finial	17	1	0
Gyeongju Historic Areas	the site notebook, which was worse than the finds	17	1	0
Hiraizumi – Temples, Gardens and Archaeological Sites Representing the Buddhist Pure Land	the hands off the station clock	17	1	0
Jesuit missions among the Guaraní	the plaque, and the screws it was on	17	1	0
Jungfrau-Aletsch protected area	the keys to everything	17	1	0
Kenya Lake System in the Great Rift Valley	the tags off every animal in it	17	1	0
Pachacámac	the finds tray, and the labels with it	17	1	0
Pankisi Gorge	the bridge across it	17	1	0
Par force hunting landscape in North Zealand	the terrace walls, stone by stone	17	1	0
Rock Paintings of Sierra de San Francisco	one day's takings	17	1	0
Silk Roads: the Routes Network of Chang'an-Tianshan Corridor	the oldest thing on the site	17	1	0
Stora Sjöfallet National Park	every seed in the seed store	17	1	0
Temple of Apollo Epicurius in Bassae	the finds tray, and the labels with it	17	1	0
Tusi Sites	the site notebook, which was worse than the finds	18	2	0
Valongo Wharf	the finds tray, and the labels with it	18	2	0
Van Nelle Factory	the last working engine	18	2	0
Victorian Gothic and Art Deco Ensembles of Mumbai	the signboard at the gate	18	2	0
Cathedral of the Savior in his Epiphany of Zaragoza	the sound of the bells	15	1	0
Luis Barragán House and Studio	the exhibit everyone comes for	15	1	0
Matobo Hills	the last hundred metres of it	15	1	0
Nahal Me'arot Nature Reserve	the site notebook, which was worse than the finds	15	1	0
Navy Petty-Officers School of Mechanics	the plaque, and the screws it was on	15	1	0
Ninstints	the site notebook, which was worse than the finds	16	1	0
Old City of Bern	the hands off the station clock	16	1	0
Poverty Point	the finds tray, and the labels with it	16	1	0
Thungyai Naresuan Wildlife Sanctuary	the breeding pair	16	1	0
Tiger Leaping Gorge	the bridge across it	16	1	0
Umm el-Jimal	the hands off the station clock	16	1	0
Zagori	one day's takings	16	1	0
Baekje Historic Areas	the oldest thing on the site	14	1	0
Buddhist Monuments in the Hōryū-ji Area	the topmost finial	14	1	0
El Pinacate y Gran Desierto de Altar Biosphere Reserve	the count, so nobody knows what is left	14	1	0
Heritage of Mercury. Almadén and Idrija	the shutters, from every window on one street	14	1	0
Hidden Christian Sites in the Nagasaki Region	the door of the oldest house in it	14	1	0
Major Mining Sites of Wallonia	the cobbles, and they were numbered	14	1	0
Major Town Houses of the Architect Victor Horta	the visitors' book	15	1	0
Mistaken Point Ecological Reserve	the harbour light	15	1	0
Neolithic flint mines of Spiennes	the keys to everything	15	1	0
Sans-Souci Palace	the chandelier, lowered and walked out	15	1	0
Teruel Cathedral	the rose window, in one piece	15	1	0
The Vineyard Landscape of Piedmont: Langhe-Roero and Monferrato	the terrace walls, stone by stone	15	1	0
W-Arly-Pendjari Complex	the count, so nobody knows what is left	15	1	0
Western Xia Mausoleums	the finds tray, and the labels with it	15	1	0
A-Ma Temple	the bell rope and the bell	13	1	0
Ahwar of Southern Iraq	a season's harvest, standing	13	1	0
Arab-Norman Palermo and the Cathedral Churches of Cefalú and Monreale	the shutters, from every window on one street	13	1	0
Arabian Oryx Sanctuary	the tags off every animal in it	13	1	0
Beit Guvrin National Park	the oldest tree in it, roots and all	13	1	0
Béguinages in Flanders	the shutters, from every window on one street	13	1	0
Catalan Romanesque Churches of the Vall de Boí	the keys to everything	13	1	0
Cavernas do Peruaçu National Park	the plan the whole thing was laid out from	13	1	0
Jodensavanne	the name off every street sign in the district	13	1	0
Monasteries of San Millán de la Cogolla	the recipe, which was the only secret they had	13	1	0
Nelson's Dockyard	the exhibit everyone comes for	13	1	0
Ombilin coal mine	the keys to everything	13	1	0
Rock Art in the Hail Region of Saudi Arabia	the finds tray, and the labels with it	13	1	0
Ruins of Gedi	the finds tray, and the labels with it	13	1	0
Saloum Delta	the tags off every animal in it	14	1	0
Sanctuary of Bom Jesus de Matosinhos	the rose window, in one piece	14	1	0
Sassanid Archaeological Landscape of Fars Region	the oldest thing on the site	14	1	0
Socotra Archipelago	the count, so nobody knows what is left	14	1	0
Spišská Kapitula	one day's takings from the whole quarter	14	1	0
Three Castles of Bellinzona	the site notebook, which was worse than the finds	14	1	0
port of the Moon	one day's takings from the whole quarter	14	1	0
Churches of the Pskov School of Architecture	the door of the oldest house in it	11	1	0
City of Vicenza and the Palladian Villas of the Veneto	the visitors' book	12	1	0
King's House on Schachen	the plan the whole thing was laid out from	12	1	0
Palazzo Rosso	the catalogue, which named things no longer there	12	1	0
Petroglyphic Complexes of the Mongolian Altai	everything in trench four, crated and gone	12	1	0
Rjukan–Notodden Industrial Heritage Site	the last working engine	12	1	0
Roman Monuments, Cathedral of St. Peter and Church of Our Lady in Trier UNESCO World Heritage Site	the cobbles, and they were numbered	12	1	0
Ruins of Loropéni	the site notebook, which was worse than the finds	12	1	0
Tell es-Sultan	the name off every street sign in the district	12	1	0
The works of Jože Plečnik in Ljubljana – Human Centred Urban Design	one day's takings from the whole quarter	12	1	0
Tigrovaya Balka Nature Reserve	the count, so nobody knows what is left	12	1	0
Upper German-Raetian Limes	everything in trench four, crated and gone	12	1	0
Windmills at Kinderdijk	the last working engine	12	1	0
porticoes of Bologna	the door of the oldest house in it	12	1	0
Caves and Ice Age Art in the Swabian Jura	the count, so nobody knows what is left	10	1	0
Historic Monuments of Novgorod and Surroundings	one day's takings from the whole quarter	10	1	0
Landscape of the Pico Island Vineyard Culture	the oldest thing on the site	11	1	0
Maidam	the cobbles, and they were numbered	11	1	0
Mapungubwe Cultural Landscape	the water rights	11	1	0
Markovi Kuli	the finds tray, and the labels with it	11	1	0
Medina of Tunis	the name off every street sign in the district	11	1	0
Pampulha Modern Ensemble	the door of the oldest house in it	11	1	0
Phoenix Islands Protected Area	the breeding pair	11	1	0
Royal Abbey of Hautecombe	the recipe, which was the only secret they had	11	1	0
Southern Öland cultural landscape	the water rights	11	1	0
Tehuacán-Cuicatlán Biosphere Reserve	the breeding pair	11	1	0
The 20th-Century Architecture of Frank Lloyd Wright	the shutters, from every window on one street	11	1	0
Tipasa	the finds tray, and the labels with it	11	1	0
Aasivissuit–Nipisat	the water rights	9	1	0
Antequera Dolmens Site	the finds tray, and the labels with it	9	1	0
Bir Hima Rock Petroglyphs and Inscriptions	everything in trench four, crated and gone	10	1	0
Church of Cristo Obrero y Nuestra Señora de Lourdes	the sound of the bells	10	1	0
Historic Centre of Sighișoara	one day's takings from the whole quarter	10	1	0
Makhonjwa Mountains	the last hundred metres of it	10	1	0
Maloti-Drakensberg Park	the visitors' book	10	1	0
Medina of Sousse	the hands off the station clock	10	1	0
Melka Kunture	everything in trench four, crated and gone	10	1	0
Qaryat al-Faw	everything in trench four, crated and gone	10	1	0
Sacred Ensembles of the Hoysalas	the terrace walls, stone by stone	10	1	0
Sansa, Buddhist Mountain Monasteries in Korea	the door of the oldest house in it	10	1	0
Sebastia	the name off every street sign in the district	10	1	0
fortifications on the Caribbean Side of Panama: Portobelo-San Lorenzo	the shutters, from every window on one street	10	1	0
Babelsberg Palace	one portrait, and it was the good one	9	1	0
Budj Bim	the snow line	9	1	0
Churches and Convents of Goa	the cobbles, and they were numbered	9	1	0
Colonial City of Santo Domingo	one day's takings from the whole quarter	9	1	0
Dong Phayayen-Khao Yai Forest Complex	the keys to everything	9	1	0
Duchess Anna Amalia Library	the exhibit everyone comes for	9	1	0
Getbol, Korean Tidal Flats	the count, so nobody knows what is left	9	1	0
Historic Centre of the City of Salzburg	the name off every street sign in the district	9	1	0
Pimachiowin Aki	the breeding pair	9	1	0
Si Thep historical park	the oldest tree in it, roots and all	9	1	0
Archaeological Site of Sabratha	the site notebook, which was worse than the finds	7	1	0
Arles, Roman and Romanesque Monuments	the site notebook, which was worse than the finds	7	1	0
Artists' Colony in Darmstadt	the oldest thing on the site	7	1	0
Astronomical Observatory of the University of Kazan	one day's takings	7	1	0
Chinchorro mummies	the visitors' book	7	1	0
Church of the Saviour at Berestove	the rose window, in one piece	8	1	0
Colchic Rainforests and Wetlands	the breeding pair	8	1	0
Durmitor National Park	the plan the whole thing was laid out from	8	1	0
Early Christian Necropolis of Pécs	everything in trench four, crated and gone	8	1	0
Forts and Castles, Volta, Greater Accra, Central and Western Regions	the shutters, from every window on one street	8	1	0
Jabal Al Fayah	the site notebook, which was worse than the finds	8	1	0
Jōmon Prehistoric Sites in Northern Japan	the site notebook, which was worse than the finds	8	1	0
Kokino	the finds tray, and the labels with it	8	1	0
Laurisilva of Madeira	the keys to everything	8	1	0
Medieval Town of Toruń	one day's takings from the whole quarter	8	1	0
Menin Gate	the hands off the station clock	8	1	0
Old City of Hebron	the name off every street sign in the district	8	1	0
Old City of Zamość	the name off every street sign in the district	8	1	0
Sanctuary of the Madonna di San Luca	the reliquary, and what was in it	9	1	0
Bahá'í World Centre buildings	the cobbles, and they were numbered	5	1	0
Bruges City Hall	the third case from the left, and the card beside it	6	1	0
Château de Quéribus	the keys to a gate that has not been locked in centuries	6	1	0
Classical Weimar	the door of the oldest house in it	6	1	0
Gaya Tumuli	the finds tray, and the labels with it	6	1	0
Gola National Park	the plan the whole thing was laid out from	6	1	0
Grand-Pré	the name off every street sign in the district	6	1	0
Hin Nam No National Protected Area	the tags off every animal in it	6	1	0
Historic Centre of Lima	the hands off the station clock	6	1	0
Historic Centre of Naples	the name off every street sign in the district	6	1	0
Kalwaria Zebrzydowska park	the shutters, from every window on one street	6	1	0
Maratha Military Landscapes of India	the door of the oldest house in it	6	1	0
Murambi Genocide Memorial	one day's takings	6	1	0
Old Towns of Djenné	the hands off the station clock	6	1	0
Risco Caido	everything in trench four, crated and gone	7	1	0
Royal Court of Tiébélé	the door of the oldest house in it	7	1	0
Silk Roads: Zarafshan-Karakum Corridor	the keys to everything	7	1	0
Sviyazhsk Assumption Monastery	the library's oldest book	7	1	0
The Causses and the Cévennes, Mediterranean agro-pastoral Cultural Landscape	the water rights	7	1	0
Vieux Lyon	the name off every street sign in the district	7	1	0
Wat Phra Mahathat	the visitors' book	7	1	0
