# Three of these six are live in any one game -- the seed
# decides which. Written by hints.py from clauses.py; see
# hints.py on why the sentences are unique and what they
# assert is not.
# landmark	descriptor	sentence
Churches of Peace	a_president_who_governs	REPORT. Taken from a taxi driver, who was reluctant: the man on the office wall runs the country and is not decoration.
Churches of Peace	an_old_quarter	RUMOUR. A scene-shifter has been paid twice for this and it has not changed: she went into a lane that had not been straightened in four hundred years.
Churches of Peace	far_from_the_equator	RUMOUR. They are saying, on the word of a fisherman mending nets, that the light came in sideways all afternoon.
Churches of Peace	no_passport_needed_next_door	SIGHTING. A road mender saw a woman answering the description. The road out of the country had no barrier across it.
Churches of Peace	protected_around_the_millennium	HEARSAY. A cleaner at the terminus told it to somebody who told us. The oldest permit in the file was issued a little before they were born.
Churches of Peace	something_famous_happened_here	NOTE. Left for us by a hall porter. The guide spent their whole talk on one afternoon in the place's history.
Churches of the Pskov School of Architecture	a_president_who_governs	WIRE. From a railway guard, unconfirmed: the officials all deferred upward to a single office.
Churches of the Pskov School of Architecture	an_old_quarter	WIRE. From a locksmith, unconfirmed: the streets were too narrow for a car and older than any of them.
Churches of the Pskov School of Architecture	far_from_the_equator	SIGHTING. A lighthouse keeper puts her there. The sun crossed low and went along the sky rather than over it.
Churches of the Pskov School of Architecture	in_eurasia	SIGHTING. A hotel telephonist saw a woman answering the description. They traced her into the interior of Eurasia and lost her.
Churches of the Pskov School of Architecture	long_dark_winter	STATEMENT. A road mender, who has no reason to invent it, says in December they get about four hours of daylight, and she knew it.
Churches of the Pskov School of Architecture	protected_only_recently	RUMOUR. A cleaner at the terminus has been paid twice for this and it has not changed: the warden had been in post since it was listed, and that was not long.
Château de Chambord	a_president_who_governs	STATEMENT. A signalman will swear to this and to nothing else: the news at seven was about what the president had decided that day.
Château de Chambord	far_from_the_equator	REPORT. A boatman states that the seasons there are the four proper ones, and they said so twice.
Château de Chambord	french_is_spoken_at_the_top	SIGHTING. A hotel maid puts her there. The courts there run in French and so does the civil service.
Château de Chambord	protected_around_the_millennium	STATEMENT. A woman selling flowers, who has no reason to invent it, says the protection order on it dates from around the turn of the century.
Château de Chambord	royal_rooms	STATEMENT. A woman selling flowers, who has no reason to invent it, says the rooms were too big for anybody to have lived comfortably in them.
Château de Chambord	somebody_made_this_by_hand	STATEMENT. A diver working the harbour, who has no reason to invent it, says the work in it was done by hand and it shows at arm's length.
Château de Montsoreau	a_castle	STATEMENT. A ticket clerk, who has no reason to invent it, says somebody built it to be hard to get into, and it still is.
Château de Montsoreau	french_is_spoken_at_the_top	STATEMENT. A shoeshine boy, who has no reason to invent it, says the paperwork was French even where the conversation was not.
Château de Montsoreau	glass_cases	WIRE. Relayed by a road mender and not yet checked: she bought a ticket and a bag was taken off her at the door.
Château de Montsoreau	guarded_since_before_the_tourists	SIGHTING. A museum guard puts her there. It was being looked after before most countries had a word for it.
Château de Montsoreau	royal_rooms	REPORT. Taken from a boatman, who was reluctant: there was a state bed with a rope across it.
Château de Montsoreau	standing_before_the_maps	STATEMENT. A baggage handler, who has no reason to invent it, says it is medieval, and it has been there longer than the country has.
Château de Quéribus	a_castle	HEARSAY. A bank teller told it to somebody who told us. There was a keep with arrow slits and a stair going the wrong way round.
Château de Quéribus	a_president_who_governs	WIRE. From a market porter, unconfirmed: the country has a president who signs things and means it.
Château de Quéribus	a_ruined_city	NOTE. Left for us by a bus conductor. There were streets with no roofs left on them.
Château de Quéribus	french_is_spoken_at_the_top	STATEMENT. A doctor's receptionist, who has no reason to invent it, says the official who stamped their form did it in French.
Château de Quéribus	guarded_since_before_the_tourists	REPORT. A postal sorter states that it was being looked after before most countries had a word for it.
Château de Quéribus	no_passport_needed_next_door	WIRE. From a priest who would not give his name, unconfirmed: they watched her walk into another country between one field and the next.
Cidade Velha	a_living_city	WIRE. Relayed by a railway guard and not yet checked: she was lost in a crowd that had somewhere else to be.
Cidade Velha	at_sea_level	STATEMENT. A ticket clerk, who has no reason to invent it, says there was salt on the windows a mile inland.
Cidade Velha	french_is_spoken_at_the_top	SIGHTING. A postal sorter puts her there. The ministry letterhead was in French, whatever the street was in.
Cidade Velha	in_africa	WIRE. Relayed by a tailor and not yet checked: the money that changed hands was African money.
Cidade Velha	something_famous_happened_here	HEARSAY. A car hire clerk told it to somebody who told us. The place is famous for an event rather than for the look of it.
Cidade Velha	standing_before_the_maps	STATEMENT. A doctor's receptionist, who has no reason to invent it, says it is medieval, and it has been there longer than the country has.
Citadel of Erbil	a_federation_of_states	WIRE. From a coach driver, unconfirmed: there were two sets of taxes on the same receipt.
Citadel of Erbil	in_asia	REPORT. A road mender states that her ticket was issued somewhere in Asia.
Citadel of Erbil	in_the_arab_league	RUMOUR. They are saying, on the word of a bookseller, that the official forms came in two languages and one of them was Arabic.
Citadel of Erbil	in_the_islamic_conference	RUMOUR. A ferry hand has been paid twice for this and it has not changed: the public holidays followed a calendar that is not ours.
Citadel of Erbil	protected_only_recently	RUMOUR. They are saying, on the word of a photographer touting for trade, that half the people who live near it can remember when it was not protected at all.
Citadel of Erbil	walls_and_gates	RUMOUR. A customs officer off duty has been paid twice for this and it has not changed: the town has a wall round it and gates that still shut.
Citadel of the Hồ Dynasty	a_reserve	HEARSAY. A bank teller told it to somebody who told us. The land is protected and there were signs saying what not to do.
Citadel of the Hồ Dynasty	french_is_spoken_at_the_top	HEARSAY. A nurse coming off shift told it to somebody who told us. The paperwork was French even where the conversation was not.
Citadel of the Hồ Dynasty	inside_the_tropics	STATEMENT. A customs broker will swear to this and to nothing else: the heat came straight down rather than across.
Citadel of the Hồ Dynasty	protected_only_recently	REPORT. Taken from a waiter who served her twice, who was reluctant: half the people who live near it can remember when it was not protected at all.
Citadel of the Hồ Dynasty	two_traditions_met_here	NOTE. Left for us by a waiter who served her twice. The arches were of one people and the tilework of another.
Citadel of the Hồ Dynasty	walls_and_gates	STATEMENT. A bank teller will swear to this and to nothing else: there were ramparts, and a walk along the top of them.
Citadelle Laferrière	french_is_spoken_at_the_top	REPORT. Taken from a laundry woman, who was reluctant: the paperwork was French even where the conversation was not.
Citadelle Laferrière	guarded_since_before_the_tourists	HEARSAY. A photographer touting for trade told it to somebody who told us. The preservation order on it is older than the coach parties.
Citadelle Laferrière	in_north_america	REPORT. Taken from a baggage handler, who was reluctant: her ticket was issued somewhere in North America.
Citadelle Laferrière	in_the_american_states	REPORT. A market porter states that the country belongs to the organisation of the Americas and the paperwork shows it.
Citadelle Laferrière	walls_and_gates	NOTE. Left for us by a bar steward. She came in through an arch built to be defended.
Citadelle Laferrière	west_of_greenwich	REPORT. Taken from a road mender, who was reluctant: her morning had not started when ours was finishing.
City of Vicenza and the Palladian Villas of the Veneto	a_prime_minister_not_a_president	SIGHTING. A ferry hand saw a woman answering the description. The government fell while they were there and the country did not notice.
City of Vicenza and the Palladian Villas of the Veneto	far_from_the_equator	SIGHTING. A bus conductor saw a woman answering the description. She had bought a coat, and she is not a woman who feels the cold.
City of Vicenza and the Palladian Villas of the Veneto	flies_the_ring_of_stars	NOTE. Left for us by a bar steward. The queue at the airport had a lane she was entitled to use.
City of Vicenza and the Palladian Villas of the Veneto	no_passport_needed_next_door	SIGHTING. A photographer touting for trade saw a woman answering the description. There was a booth at the frontier and no one was sitting in it.
City of Vicenza and the Palladian Villas of the Veneto	protected_in_the_eighties_or_nineties	REPORT. Taken from a tailor, who was reluctant: the fence round it has been there long enough to rust properly.
City of Vicenza and the Palladian Villas of the Veneto	somebody_made_this_by_hand	SIGHTING. A nun saw a woman answering the description. The work in it was done by hand and it shows at arm's length.
Cité de Carcassonne	a_living_city	RUMOUR. A laundry woman has been paid twice for this and it has not changed: she was lost in a crowd that had somewhere else to be.
Cité de Carcassonne	a_president_who_governs	STATEMENT. A scene-shifter, who has no reason to invent it, says the news at seven was about what the president had decided that day.
Cité de Carcassonne	french_is_spoken_at_the_top	WIRE. Relayed by a border guard's wife and not yet checked: the paperwork was French even where the conversation was not.
Cité de Carcassonne	guarded_since_before_the_tourists	RUMOUR. A tailor has been paid twice for this and it has not changed: protection came early, which is why there is anything left to protect.
Cité de Carcassonne	no_passport_needed_next_door	HEARSAY. A ferry hand told it to somebody who told us. There was a booth at the frontier and no one was sitting in it.
Cité de Carcassonne	walls_and_gates	RUMOUR. They are saying, on the word of a car hire clerk, that there were ramparts, and a walk along the top of them.
Ciudad Universitaria	a_federation_of_states	WIRE. Relayed by a watchmaker and not yet checked: the police at one end of the road answered to somebody different from the police at the other.
Ciudad Universitaria	a_president_who_governs	NOTE. Left for us by a baggage handler. The man on the office wall runs the country and is not decoration.
Ciudad Universitaria	in_north_america	HEARSAY. A groundsman told it to somebody who told us. They followed her as far as North America and there it stops.
Ciudad Universitaria	in_the_american_states	REPORT. Taken from a watchmaker, who was reluctant: the flags outside the ministry included the one for the hemisphere's assembly.
Ciudad Universitaria	somebody_made_this_by_hand	HEARSAY. A railway guard told it to somebody who told us. It is the sort of thing people travel to look at because of the making.
Ciudad Universitaria	within_living_memory	STATEMENT. A tailor, who has no reason to invent it, says the photographs of its construction are photographs, not engravings.
Classical Gardens of Suzhou	a_garden	STATEMENT. A piano tuner, who has no reason to invent it, says everything green in it had been put there on purpose.
Classical Gardens of Suzhou	in_the_african_union	WIRE. From an ambulance driver, unconfirmed: a summit of the Union was being advertised on every hoarding.
Classical Gardens of Suzhou	protected_around_the_millennium	NOTE. Left for us by a market porter. The warden's post there was created about twenty-five years ago and they are only the second to hold it.
Classical Gardens of Suzhou	somebody_made_this_by_hand	SIGHTING. A chemist puts her there. The work in it was done by hand and it shows at arm's length.
Classical Gardens of Suzhou	two_traditions_met_here	REPORT. A locksmith states that the place is a seam between two traditions and neither one won.
Classical Gardens of Suzhou	worked_the_same_way_for_centuries	REPORT. A customs officer off duty states that the tools in the shed were the same shape as the tools in the museum.
Classical Weimar	a_prime_minister_not_a_president	REPORT. Taken from a watchmaker, who was reluctant: questions get shouted at the man in charge once a week, in public.
Classical Weimar	an_old_quarter	REPORT. A railway guard states that the streets were too narrow for a car and older than any of them.
Classical Weimar	far_from_the_equator	STATEMENT. A bookseller will swear to this and to nothing else: the sun crossed low and went along the sky rather than over it.
Classical Weimar	no_passport_needed_next_door	REPORT. A waiter who served her twice states that the road out of the country had no barrier across it.
Classical Weimar	protected_around_the_millennium	SIGHTING. A locksmith puts her there. The protection order on it dates from around the turn of the century.
Classical Weimar	something_famous_happened_here	STATEMENT. A piano tuner, who has no reason to invent it, says the guide spent their whole talk on one afternoon in the place's history.
Coiba	a_garden	SIGHTING. A signalman saw a woman answering the description. The planting was laid out by somebody with a plan and a budget.
Coiba	a_national_park	REPORT. Taken from a bar steward, who was reluctant: there was a gate, a fee, and a warden who wrote their name down.
Coiba	in_north_america	RUMOUR. They are saying, on the word of a bank teller, that she is on the North American continent and nobody will narrow it further.
Coiba	living_things_doing_what_they_do	NOTE. Left for us by a watchmaker. It is protected for what happens there every year, not for what stands there.
Coiba	ringed_by_water	NOTE. Left for us by a customs broker. The last part of the journey could only be done by sea.
Coiba	water_at_its_feet	HEARSAY. A priest who would not give his name told it to somebody who told us. The whole thing is arranged around a shore.
Colchic Rainforests and Wetlands	a_president_who_governs	SIGHTING. A doctor's receptionist saw a woman answering the description. There was one portrait in every room and it was the same man.
Colchic Rainforests and Wetlands	a_reserve	SIGHTING. A nun saw a woman answering the description. There were more rules on the noticeboard than there were visitors.
Colchic Rainforests and Wetlands	in_north_america	HEARSAY. A schoolmaster on holiday told it to somebody who told us. They followed her as far as North America and there it stops.
Colchic Rainforests and Wetlands	living_things_doing_what_they_do	WIRE. Relayed by a hotel maid and not yet checked: the wardens talk about it as a timetable rather than a place.
Colchic Rainforests and Wetlands	protected_only_recently	WIRE. Relayed by a chemist and not yet checked: the plaque was so new they could still read every letter of it.
Colchic Rainforests and Wetlands	the_last_animals_of_their_kind	RUMOUR. A money changer has been paid twice for this and it has not changed: there are animals there that are nowhere else, and not many of them.
Cologne Cathedral	a_church_or_cathedral	SIGHTING. A baggage handler saw a woman answering the description. There were bells, and they set their watch by them.
Cologne Cathedral	far_from_the_equator	REPORT. A hotel telephonist states that her shadow never got short, not even at midday.
Cologne Cathedral	protected_around_the_millennium	WIRE. Relayed by a market porter and not yet checked: the protection order on it dates from around the turn of the century.
Cologne Cathedral	somebody_made_this_by_hand	STATEMENT. A taxi driver will swear to this and to nothing else: whatever it is, a person made it, and made it better than they had to.
Cologne Cathedral	standing_before_the_maps	NOTE. Left for us by a bank teller. It has outlasted the language its builders wrote in.
Cologne Cathedral	thick_with_visitors	SIGHTING. A boatman puts her there. The queue was an hour long and she stood in all of it.
Colonia Iulia Urbs Triumphalis Tarraco	a_crown_still_on_the_coins	REPORT. Taken from a bar steward, who was reluctant: there is a palace there that is not a museum.
Colonia Iulia Urbs Triumphalis Tarraco	a_dug_site	REPORT. An ambulance driver states that somebody was sieving dirt into a barrow, very slowly.
Colonia Iulia Urbs Triumphalis Tarraco	a_living_city	SIGHTING. A priest who would not give his name puts her there. There were schoolchildren, and offices, and a rush hour she used.
Colonia Iulia Urbs Triumphalis Tarraco	a_ruined_city	HEARSAY. A market porter told it to somebody who told us. There were doorways standing with no walls either side.
Colonia Iulia Urbs Triumphalis Tarraco	a_span_or_a_channel	HEARSAY. A market porter told it to somebody who told us. Somebody had thrown a structure across a gap that wanted crossing.
Colonia Iulia Urbs Triumphalis Tarraco	walls_and_gates	RUMOUR. They are saying, on the word of a girl selling cigarettes, that there were ramparts, and a walk along the top of them.
Colonial City of Santo Domingo	a_living_city	NOTE. Left for us by a doctor's receptionist. They lost her in it within four minutes, which tells you the size of it.
Colonial City of Santo Domingo	an_old_quarter	STATEMENT. A lighthouse keeper, who has no reason to invent it, says the streets were too narrow for a car and older than any of them.
Colonial City of Santo Domingo	in_north_america	REPORT. Taken from a hotel maid, who was reluctant: she is on the North American continent and nobody will narrow it further.
Colonial City of Santo Domingo	in_the_american_states	WIRE. Relayed by a watchmaker and not yet checked: the flags outside the ministry included the one for the hemisphere's assembly.
Colonial City of Santo Domingo	protected_in_the_eighties_or_nineties	WIRE. From a customs broker, unconfirmed: the fence round it has been there long enough to rust properly.
Colonial City of Santo Domingo	something_famous_happened_here	SIGHTING. A woman selling flowers saw a woman answering the description. The place is famous for an event rather than for the look of it.
Colosseum	a_dug_site	REPORT. Taken from a waiter who served her twice, who was reluctant: the ground was cut into squares and roped off.
Colosseum	a_ruined_city	SIGHTING. A lighthouse keeper saw a woman answering the description. There were streets with no roofs left on them.
Colosseum	glass_cases	NOTE. Left for us by a lighthouse keeper. There were things in cases with small cards beside them.
Colosseum	no_passport_needed_next_door	REPORT. A car hire clerk states that the road out of the country had no barrier across it.
Colosseum	older_than_the_records	REPORT. A customs officer off duty states that it predates every record of the people who now live around it.
Colosseum	thick_with_visitors	HEARSAY. A laundry woman told it to somebody who told us. There were more people there than anywhere she has been this month.
Comoé National Park	a_garden	WIRE. Relayed by a girl selling cigarettes and not yet checked: the planting was laid out by somebody with a plan and a budget.
Comoé National Park	a_national_park	SIGHTING. A priest who would not give his name saw a woman answering the description. The whole of it is a national park and she needed a permit.
Comoé National Park	a_reserve	REPORT. Taken from a nun, who was reluctant: the land is protected and there were signs saying what not to do.
Comoé National Park	in_africa	WIRE. Relayed by a watchmaker and not yet checked: the money that changed hands was African money.
Comoé National Park	living_things_doing_what_they_do	NOTE. Left for us by a piano tuner. Something living happens there on a scale that needs the whole valley.
Comoé National Park	the_last_animals_of_their_kind	NOTE. Left for us by a nurse coming off shift. There are animals there that are nowhere else, and not many of them.
Convent of Christ	a_monastery	SIGHTING. A waiter who served her twice saw a woman answering the description. There was a community living behind a wall on a rule and a timetable.
Convent of Christ	guarded_since_before_the_tourists	HEARSAY. A bar steward told it to somebody who told us. The oldest sign on the gate is enamel and half illegible.
Convent of Christ	no_passport_needed_next_door	WIRE. Relayed by a hotel telephonist and not yet checked: she crossed a border and nobody asked her for anything.
Convent of Christ	somebody_made_this_by_hand	REPORT. Taken from a nun, who was reluctant: somebody spent a life on it and the life is visible.
Convent of Christ	something_famous_happened_here	SIGHTING. A doctor's receptionist saw a woman answering the description. The guide spent their whole talk on one afternoon in the place's history.
Convent of Christ	west_of_greenwich	REPORT. Taken from a groundsman, who was reluctant: they cabled at their breakfast and it reached us at our supper.
Copán	a_dug_site	REPORT. Taken from a photographer touting for trade, who was reluctant: there were open trenches with string and numbered pegs across them.
Copán	guarded_since_before_the_tourists	SIGHTING. A lighthouse keeper puts her there. The oldest sign on the gate is enamel and half illegible.
Copán	in_north_america	SIGHTING. A money changer puts her there. The manifest put her on a North American route.
Copán	in_the_american_states	RUMOUR. They are saying, on the word of a priest who would not give his name, that the country sits in the assembly of the American states.
Copán	something_famous_happened_here	REPORT. A girl selling cigarettes states that the guide spent their whole talk on one afternoon in the place's history.
Copán	west_of_greenwich	WIRE. Relayed by a cook and not yet checked: her morning had not started when ours was finishing.
Cordouan Lighthouse	a_president_who_governs	RUMOUR. A lighthouse keeper has been paid twice for this and it has not changed: the country has a president who signs things and means it.
Cordouan Lighthouse	a_span_or_a_channel	NOTE. Left for us by a cook. The water was going where engineers had told it to.
Cordouan Lighthouse	french_is_spoken_at_the_top	HEARSAY. A signalman told it to somebody who told us. The official who stamped their form did it in French.
Cordouan Lighthouse	protected_only_recently	WIRE. From a coach driver, unconfirmed: the signs at the entrance still looked new and the paint had not run.
Cordouan Lighthouse	somebody_made_this_by_hand	WIRE. From a watchmaker, unconfirmed: you could see the tool marks if you got close, and they did.
Cordouan Lighthouse	water_at_its_feet	WIRE. Relayed by a chemist and not yet checked: there was a jetty, and things arrived at it.
Cornwall and West Devon Mining Landscape	a_crown_still_on_the_coins	RUMOUR. A night porter has been paid twice for this and it has not changed: the oath the officials swear is to a person, not a document.
Cornwall and West Devon Mining Landscape	far_from_the_equator	REPORT. A doctor's receptionist states that her shadow never got short, not even at midday.
Cornwall and West Devon Mining Landscape	protected_around_the_millennium	REPORT. A nun states that the warden's post there was created about twenty-five years ago and they are only the second to hold it.
Cornwall and West Devon Mining Landscape	traffic_keeps_left	RUMOUR. They are saying, on the word of a border guard's wife, that she stepped off the kerb the wrong way and a taxi swore at her.
Cornwall and West Devon Mining Landscape	west_of_greenwich	RUMOUR. They are saying, on the word of a money changer, that her morning had not started when ours was finishing.
Cornwall and West Devon Mining Landscape	worked_land	HEARSAY. A hall porter told it to somebody who told us. It is farmed ground, and the way it is farmed is the point.
Cradle of Humankind	in_africa	STATEMENT. A hotel maid, who has no reason to invent it, says she is somewhere on the African continent, and that is as much as anyone will say.
Cradle of Humankind	protected_around_the_millennium	WIRE. Relayed by a taxi driver and not yet checked: the guidebooks printed before the millennium do not mention it being protected.
Cradle of Humankind	something_famous_happened_here	HEARSAY. A boatman told it to somebody who told us. There was a plaque, and the plaque was the reason anyone came.
Cradle of Humankind	south_of_the_line	SIGHTING. A nun saw a woman answering the description. Orion was standing on his head.
Cradle of Humankind	the_old_empire_in_common	WIRE. Relayed by a signalman and not yet checked: the plugs were the three-pin sort and the paperwork was familiar.
Cradle of Humankind	traffic_keeps_left	SIGHTING. A postal sorter puts her there. The roundabouts went round the wrong way and they were ill by lunchtime.
Crespi d'Adda	a_living_city	WIRE. Relayed by a customs broker and not yet checked: they lost her in it within four minutes, which tells you the size of it.
Crespi d'Adda	far_from_the_equator	SIGHTING. A girl selling cigarettes puts her there. The seasons there are the four proper ones, and they said so twice.
Crespi d'Adda	machine_age	STATEMENT. A bank teller, who has no reason to invent it, says the buildings were made to hold machinery and they still smell of it.
Crespi d'Adda	no_passport_needed_next_door	RUMOUR. A customs broker has been paid twice for this and it has not changed: there is no check on that border and there has not been for years.
Crespi d'Adda	protected_around_the_millennium	RUMOUR. They are saying, on the word of a hotel telephonist, that there is a photograph in the office of the ceremony, and the clothes in it are of that decade.
Crespi d'Adda	worked_the_same_way_for_centuries	SIGHTING. A border guard's wife saw a woman answering the description. The way of life and the place it is lived in are the same thing.
Cueva de las Manos	in_south_america	RUMOUR. A shoeshine boy has been paid twice for this and it has not changed: the postmark was South American.
Cueva de las Manos	in_the_american_states	WIRE. From a taxi driver, unconfirmed: there was a poster for a hemispheric conference in the post office.
Cueva de las Manos	protected_in_the_eighties_or_nineties	SIGHTING. A customs broker puts her there. The fence round it has been there long enough to rust properly.
Cueva de las Manos	south_of_the_line	REPORT. A girl selling cigarettes states that the year was running backwards to ours, summer where we have winter.
Cueva de las Manos	underground	RUMOUR. A cleaner at the terminus has been paid twice for this and it has not changed: the air came up out of the ground and smelled of stone.
Cueva de las Manos	water_at_its_feet	REPORT. A border guard's wife states that there was a jetty, and things arrived at it.
Curonian Spit	a_president_who_governs	WIRE. Relayed by a locksmith and not yet checked: the news at seven was about what the president had decided that day.
Curonian Spit	far_from_the_equator	STATEMENT. A girl selling cigarettes will swear to this and to nothing else: she had bought a coat, and she is not a woman who feels the cold.
Curonian Spit	long_dark_winter	WIRE. From a waiter who served her twice, unconfirmed: the sun did its whole business between breakfast and tea.
Curonian Spit	protected_around_the_millennium	SIGHTING. A schoolmaster on holiday saw a woman answering the description. The guidebooks printed before the millennium do not mention it being protected.
Curonian Spit	water_at_its_feet	SIGHTING. A woman selling flowers saw a woman answering the description. The place stands on water and the water is half of it.
Curonian Spit	worked_the_same_way_for_centuries	WIRE. Relayed by a money changer and not yet checked: nobody there was doing anything their grandparents could not have done.
Cusco	a_living_city	RUMOUR. A priest who would not give his name has been paid twice for this and it has not changed: she was lost in a crowd that had somewhere else to be.
Cusco	an_old_quarter	STATEMENT. A hotel maid will swear to this and to nothing else: you cannot change a window there without asking somebody.
Cusco	in_south_america	RUMOUR. They are saying, on the word of a money changer, that the wire came up through South America.
Cusco	in_the_american_states	RUMOUR. A hotel maid has been paid twice for this and it has not changed: her visa was of the kind the American states issue one another.
Cusco	south_of_the_line	WIRE. Relayed by a night porter and not yet checked: the year was running backwards to ours, summer where we have winter.
Cusco	thin_air	RUMOUR. A postal sorter has been paid twice for this and it has not changed: she was walking slowly and she does not walk slowly.
Cyrene	a_living_city	REPORT. Taken from a scene-shifter, who was reluctant: it is a working town and she could be any of forty thousand women in it.
Cyrene	in_africa	HEARSAY. A bank teller told it to somebody who told us. The postmark on the envelope was African.
Cyrene	in_the_arab_league	STATEMENT. A customs broker, who has no reason to invent it, says the newspapers on the stand were in the script of the League.
Cyrene	older_than_the_records	HEARSAY. A cook told it to somebody who told us. Nobody knows who built it, only roughly when.
Cyrene	something_famous_happened_here	RUMOUR. They are saying, on the word of an ambulance driver, that the name of it turns up in songs, and not because of the scenery.
Cyrene	water_at_its_feet	SIGHTING. A locksmith saw a woman answering the description. The place stands on water and the water is half of it.
Cát Bà Island	living_things_doing_what_they_do	NOTE. Left for us by a priest who would not give his name. They were told to come back in the right month to see the point of it.
Cát Bà Island	ringed_by_water	SIGHTING. A boatman puts her there. She had to take a boat, and the boat took its time.
Cát Bà Island	the_earth_showing_its_workings	REPORT. A groundsman states that the rock there is laid open and you can read it like pages.
Cát Bà Island	the_last_animals_of_their_kind	RUMOUR. A scene-shifter has been paid twice for this and it has not changed: the wardens count what lives there, and the number is small.
Cát Bà Island	water_at_its_feet	STATEMENT. A railway guard will swear to this and to nothing else: the place stands on water and the water is half of it.
Cát Bà Island	you_cannot_stop_looking_at_it	SIGHTING. A bank teller puts her there. The place is on the list for being beautiful and nothing else.
Dacian Fortresses of the Orăștie Mountains	a_president_who_governs	NOTE. Left for us by a money changer. There was one portrait in every room and it was the same man.
Dacian Fortresses of the Orăștie Mountains	an_old_quarter	RUMOUR. A photographer touting for trade has been paid twice for this and it has not changed: she went into a lane that had not been straightened in four hundred years.
Dacian Fortresses of the Orăștie Mountains	far_from_the_equator	WIRE. From a customs broker, unconfirmed: the seasons there are the four proper ones, and they said so twice.
Dacian Fortresses of the Orăștie Mountains	french_is_spoken_at_the_top	STATEMENT. A doctor's receptionist will swear to this and to nothing else: the ministry letterhead was in French, whatever the street was in.
Dacian Fortresses of the Orăștie Mountains	protected_around_the_millennium	WIRE. From a lighthouse keeper, unconfirmed: the guidebooks printed before the millennium do not mention it being protected.
Dacian Fortresses of the Orăștie Mountains	walls_and_gates	STATEMENT. A woman selling flowers will swear to this and to nothing else: the town has a wall round it and gates that still shut.
Dambulla cave temple	a_temple_or_pagoda	WIRE. From a signalman, unconfirmed: there was incense on everything, including the man who saw her.
Dambulla cave temple	protected_in_the_eighties_or_nineties	REPORT. A museum guard states that the guidebook their father used already calls it protected.
Dambulla cave temple	somebody_made_this_by_hand	SIGHTING. A signalman puts her there. There is no machine that could have done that and there was none.
Dambulla cave temple	something_famous_happened_here	SIGHTING. A postal sorter puts her there. Half the postcards on the rack showed a date rather than a view.
Dambulla cave temple	the_old_empire_in_common	REPORT. A schoolmaster on holiday states that the courts there still argue from the same old cases we do.
Dambulla cave temple	traffic_keeps_left	WIRE. From an ambulance driver, unconfirmed: the traffic came at her from the side she was not watching.
Danevirke	a_dug_site	RUMOUR. A hotel telephonist has been paid twice for this and it has not changed: somebody was sieving dirt into a barrow, very slowly.
Danevirke	a_prime_minister_not_a_president	HEARSAY. A bookseller told it to somebody who told us. Questions get shouted at the man in charge once a week, in public.
Danevirke	far_from_the_equator	REPORT. Taken from a bar steward, who was reluctant: the light came in sideways all afternoon.
Danevirke	no_passport_needed_next_door	RUMOUR. They are saying, on the word of a border guard's wife, that there was a booth at the frontier and no one was sitting in it.
Danevirke	standing_before_the_maps	STATEMENT. A baggage handler will swear to this and to nothing else: it was standing before any of our maps had that coast right.
Danevirke	walls_and_gates	WIRE. Relayed by a locksmith and not yet checked: she came in through an arch built to be defended.
Danube Delta	at_sea_level	STATEMENT. A taxi driver, who has no reason to invent it, says there was salt on the windows a mile inland.
Danube Delta	french_is_spoken_at_the_top	WIRE. Relayed by a tailor and not yet checked: the diplomatic notes go out in French.
Danube Delta	protected_in_the_eighties_or_nineties	SIGHTING. A hall porter puts her there. The guidebook their father used already calls it protected.
Danube Delta	the_last_animals_of_their_kind	WIRE. Relayed by an ambulance driver and not yet checked: the guides talk in numbers, and the numbers are two figures.
Danube Delta	within_living_memory	RUMOUR. A money changer has been paid twice for this and it has not changed: there are people in the town who remember the building of it.
Danube Delta	you_cannot_stop_looking_at_it	RUMOUR. An ambulance driver has been paid twice for this and it has not changed: it is the sort of view people go a long way to stand in front of.
Darial Gorge	a_president_who_governs	STATEMENT. A diver working the harbour, who has no reason to invent it, says the man on the office wall runs the country and is not decoration.
Darial Gorge	deep_cut	HEARSAY. A barber told it to somebody who told us. The ground opened up and went down further than they liked.
Darial Gorge	in_asia	RUMOUR. They are saying, on the word of a priest who would not give his name, that her ticket was issued somewhere in Asia.
Darial Gorge	in_eurasia	RUMOUR. A coach driver has been paid twice for this and it has not changed: the routing was through the middle of the Eurasian landmass.
Darial Gorge	one_of_the_twenty	REPORT. A nurse coming off shift states that there was a police cordon for a summit of the twenty largest.
Darién National Park	a_garden	RUMOUR. A priest who would not give his name has been paid twice for this and it has not changed: there were gravel paths and a man with a rake.
Darién National Park	a_national_park	WIRE. From a diver working the harbour, unconfirmed: the boundary was on the map in green and enforced.
Darién National Park	in_north_america	WIRE. From a taxi driver, unconfirmed: she is on the North American continent and nobody will narrow it further.
Darién National Park	living_things_doing_what_they_do	REPORT. Taken from a waiter who served her twice, who was reluctant: the place is kept for a process rather than a thing -- a migration, a spawning, a slow return.
Darién National Park	the_last_animals_of_their_kind	STATEMENT. A barber will swear to this and to nothing else: they were told not to leave the path because of what nests beside it.
Darién National Park	you_cannot_stop_looking_at_it	WIRE. Relayed by an ambulance driver and not yet checked: the postcards do not do it justice, and everybody says so, and they are right.
Dasht-e Lut	a_president_who_governs	REPORT. Taken from a baggage handler, who was reluctant: the officials all deferred upward to a single office.
